Сотрудник,Пол,Возраст,Отработал дней,Разница_изменение_должности,Разница_изменение_оклада,1м Отправленные письма,1м Отредактированные файлы,1м Активные дни (Google),1м Дневное среднее (Отправленные письма),1м Дневное среднее (Отредактированные файлы),1м Факт обучения,1м Дней БЛ,1м Количество отпусков (Основной),1м Количество дней (Основной),1м Количество отпусков (За свой счет),1м Количество дней (За свой счет),1м Всего часов (ACMS),1м Дней на работе (ACMS),1м Среднее время на работе (ACMS),1м Переработка,1м Удаленная работа,2м Отправленные письма,2м Отредактированные файлы,2м Активные дни (Google),2м Дневное среднее (Отправленные письма),2м Дневное среднее (Отредактированные файлы),2м Факт обучения,2м Дней БЛ,2м Количество отпусков (Основной),2м Количество дней (Основной),2м Количество отпусков (За свой счет),2м Количество дней (За свой счет),2м Всего часов (ACMS),2м Дней на работе (ACMS),2м Среднее время на работе (ACMS),2м Переработка,2м Удаленная работа,3м Отправленные письма,3м Отредактированные файлы,3м Активные дни (Google),3м Дневное среднее (Отправленные письма),3м Дневное среднее (Отредактированные файлы),3м Факт обучения,3м Дней БЛ,3м Количество отпусков (Основной),3м Количество дней (Основной),3м Количество отпусков (За свой счет),3м Количество дней (За свой счет),3м Всего часов (ACMS),3м Дней на работе (ACMS),3м Среднее время на работе (ACMS),3м Переработка,3м Удаленная работа,Уволен,Отработал месяцев,Изменение должности (в месяцах),Изменение оклада (в месяцах),Количество отпусков (Основные отпуска),Количество дней (Основные отпуска),Количество отпусков (Отпуска за свой счет),Количество дней (Отпуска за свой счет),Факты обучения,Больничных дней,Средняя переработка за три месяца,2-1 Отн. изменение активности (Отправленные письма),2-1 Отн. изменение активности (Отредактированные файлы),2-1 Отн. изменение активности (Время на работе),2-1 Отн. изменение активности (Активных дней),3-2 Отн. изменение активности (Отправленные письма),3-2 Отн. изменение активности (Отредактированные файлы),3-2 Отн. изменение активности (Время на работе),3-2 Отн. изменение активности (Активных дней)
80a95bae88625400c7714f8134755ccc3c1bcec99db24272a0dba624f71104c7,Женский,37.0,4810.0,1187.0,31.0,18.0,0.0,7,2.571428571428572,0.0,0.0,0.0,1.0,2.0,4.0,4.0,32.18527777777778,6.0,5.364212962962963,0.0,0,16.0,0.0,8.0,2.0,0.0,0.0,10.0,1.0,4.0,1.0,1.0,27.25,5.0,5.45,0.0,0.0,11.0,0.0,8.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.88333333333333,5.0,7.376666666666667,0.0,0.0,0,160.33333333333334,39.56666666666667,1.0333333333333334,2.0,6.0,5.0,5.0,0.0,10.0,0.0,-0.2222222222222224,0.0,0.015992474129821306,0.14285714285714285,-0.3125,0.0,0.3535168195718654,0.0
4d24cbd09bab76989fce916750f97b49b80bad5193f99dbf61579ea64b71dcd1,Мужской,22.0,651.0,306.0,651.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21.7,10.2,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9b876bd844801caf4b286fb5e3c311bb0082c679c79764c2716bdc364ea7db68,Мужской,27.0,760.0,-1.0,304.0,7.0,4.0,5,1.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,2.0,5.0,1.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,9.0,1.8888888888888888,0.3333333333333333,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,25.333333333333332,-1.0,10.133333333333333,1.0,7.0,1.0,1.0,0.0,0.0,0.0,-0.28571428571428564,-0.5,0.0,0.0,0.8888888888888888,-0.16666666666666677,0.0,0.8
b4ed6b7352552293a303dc9b835c7e31f2b0dcd8eb330395a47fcf12b2763817,Женский,28.0,628.0,-1.0,-1.0,69.0,0.0,20,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.36194444444445,15.0,8.557462962962964,0.5574629629629637,0,90.0,1.0,20.0,4.5,0.05,0.0,0.0,0.0,0.0,1.0,1.0,151.76888888888888,18.0,8.431604938271605,0.4316049382716045,0.0,63.0,0.0,16.0,3.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.49666666666667,15.0,8.566444444444445,0.5664444444444445,0.0,0,20.933333333333334,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5130729166666672,0.30434782608695643,-2.0,-0.014707399288326189,0.0,-0.125,-1.0,0.0159921518097693,-0.2
b82e48582d191bb7a9e18414f95d986d104d4eb9849296c548c63de59a8e488f,Мужской,38.0,3871.0,1946.0,891.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,129.03333333333333,64.86666666666666,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33818e36220b70569f6c167cb5ef0a3c159a1b6b8cdac7291a9ff49b23ddcb3f,Женский,30.0,1726.0,1339.0,883.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,57.53333333333333,44.63333333333333,29.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.25,0.0,0.0,0.0
9fd82379052b3aa2659f461c766d349f40c375d6e93500bcfb06a1fcdbda22f6,Женский,32.0,2709.0,914.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,79.2375,15.0,5.2825,0.0,0,8.0,0.0,5.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.21972222222222,14.0,5.229980158730158,0.0,0.0,12.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,66.19416666666666,14.0,4.7281547619047615,0.0,0.0,0,90.3,30.466666666666665,-1.0,1.0,7.0,2.0,2.0,1.0,0.0,0.0,-2.0,0.0,-0.009942232138162149,-2.0,0.24999999999999994,0.0,-0.09595168272057847,0.2
c694c3414b8ac73b860ca21ca9e52c4334f9a798487f7e88128f67962f475f55,Женский,25.0,101.0,-1.0,101.0,21.0,0.0,11,1.9090909090909087,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,17.0,5.0,0.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.0,15.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1,3.3666666666666667,-1.0,3.3666666666666667,0.0,0.0,3.0,4.0,0.0,15.0,0.0,-0.7904761904761904,-2.0,0.0,-0.5454545454545454,0.6666666666666665,-0.9019607843137254,0.0,-0.4
26179ead581377da311f715f0296ef7f010a1cea52d31306abc4d423bb8f430d,Женский,24.0,474.0,-1.0,474.0,136.0,0.0,23,5.913043478260869,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,146.0,0.0,25.0,5.84,0.0,0.0,0.0,1.0,14.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,118.0,0.0,23.0,5.130434782608695,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1,15.8,-1.0,15.8,2.0,16.0,9.0,9.0,0.0,5.0,0.0,-0.012352941176470547,0.0,0.0,0.08695652173913043,-0.121500893388922,0.0,0.0,-0.08
b95b4bb078e5b9eed93a9e06fc31c1eb70de7cc59fa5e80d3985d10dbf4d2d1a,Мужской,27.0,719.0,577.0,719.0,7.0,0.0,6,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6377777777778,18.0,8.646543209876544,0.646543209876544,0,11.0,0.0,7.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.17083333333332,22.0,6.644128787878787,0.0,0.0,17.0,0.0,6.0,2.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.48583333333335,20.0,8.224291666666668,0.2242916666666676,0.0,0,23.966666666666665,19.233333333333334,23.966666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34693877551020397,0.0,-0.23158554504307477,0.16666666666666666,0.8030303030303029,0.0,0.23782845414896978,-0.14285714285714285
